NAME	PVL Differentiated	Macrophage	GenMod4	T cells CD8+	T cells CD4+	Endothelial RGS5	B cells Memory	GenMod1	Myoepithelial	CAFs MSC iCAF-like	CAFs myCAF-like	Plasmablasts	B cells Naive	GenMod3	GenMod2	GenMod7	DCs	GenMod5	Endothelial ACKR1	Monocyte	Mature Luminal	GenMod6	Endothelial CXCL12	NK cells	PVL Immature	Luminal Progenitors	NKT cells	Endothelial Lymphatic LYVE1
RHOG	67.7694871183964	341.264813681262	58.0568288260182	183.722492117822	218.440606329088	103.633214578891	172.266446270609	52.986937100894	57.1058879863261	1	59.7282694949982	1	68.7161073799999	63.4307873185973	32.8301452149038	1	183.940642953991	1	70.4329891994187	418.392477180249	49.1893820989853	56.3506711832533	82.0998444661621	147.894944728174	83.3271079253467	29.1579325715658	285.752569450751	1
RHOH	1	1	1	505.883434424154	487.707652286	1	376.329373681443	1	1	1	1	74.1019123690153	457.092524802278	1	1	1	61.4797711833098	1	1	1	1	1	1	343.996746561564	1	1	291.484137990029	1
RHOJ	1	1	1	1	1	121.341990617075	1	1	1	1	1	1	1	1	1	1	1	1	139.44174797454	1	1	1	68.3295494228758	1	1	1	1	230.521966895601
RHOQ	57.1346136005316	73.9825865883516	1	1	1	1	1	1	1	1	45.4500153671279	1	1	1	1	1	41.7069057202401	1	1	98.4756485812548	1	1	1	1	1	1	1	1
RHOT1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.6661026716546	1	1	1	1	1	1	1	1	1	1
RHOU	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	57.1634843924256	1	1	1	1	1	1	1	1	1
RHOV	1	1	131.461077182696	1	1	1	1	118.05353719668	1	1	1	1	1	58.7932012790808	87.9121752971625	118.085478729336	1	1	1	1	99.1417558815004	140.799878515713	1	1	1	118.782454414926	1	1
RHPN1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	57.3741229300085	1	1	1	1	1	1	1	1	1	1
RHPN2	1	1	1	1	1	1	1	40.5116854205141	1	1	1	1	1	1	29.4724068610019	63.1566195194171	1	1	1	1	55.8671034610092	32.439082311532	1	1	1	1	1	1
RIC3	1	1	1	1	1	1	190.154159383688	1	108.424196672183	1	1	1	117.077243436444	1	1	1	1	1	1	1	81.1399741464936	1	1	1	1	58.0222023906268	1	1
RIC8A	45.6880245428194	1	37.6878862680177	1	1	54.4897132386639	1	30.6348214830466	53.6525428881813	1	49.1385518419415	1	1	36.7199975111975	31.1056534248771	1	1	51.5706927624751	47.0293224611885	1	42.0141792410354	33.7353573504699	39.5120804015606	1	43.9309806169919	38.5550198804903	127.51823694175	28.3712523729731
RILP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.8139906088265	1	1	1	1	1
RILPL2	64.5081182227978	136.555934502343	1	172.085921782757	238.515625593897	77.0899300036691	343.514494953678	55.2150023402442	49.7820811476909	1	1	1	1	1	1	1	210.159098110742	1	87.8491172826379	270.893412207669	71.0149279859945	31.6807955656167	206.215487093938	97.433158906647	1	41.8734546317972	1	99.2051499334757
RIMKLB	1	1	1	1	1	54.5827597264389	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	69.572701935363	1	1	1	1	1
RIN2	1	1	1	1	1	49.7364158973145	1	1	1	1	51.9271284826801	1	1	1	1	1	1	1	1	1	1	24.5998693297131	85.4523734576136	1	1	1	1	1
RIN3	1	57.958595916874	1	1	1	56.6803372271789	1	1	1	1	1	1	1	1	1	1	71.8352058771429	1	1	71.1459067694113	1	1	1	141.252989940702	1	1	1	1
RIOK1	1	1	44.5774730637242	1	1	1	1	1	1	1	1	1	1	41.8829119272092	30.4929688702225	1	1	1	1	1	1	1	1	1	1	33.7664818603879	1	98.4006642348301
RIOK3	1	52.0782253449577	53.8940909795524	1	1	58.3878579678498	1	56.0302763177603	63.280761174783	1	1	1	1	59.7699781512878	45.5404978761677	85.7274419994785	39.7867310766293	1	49.1190695459663	57.2171904407664	70.3242455226632	66.3080657031664	42.6272439454908	105.558294360783	1	50.922483866191	89.1220014258226	48.1669957871607
RIPK2	1	66.2193839925724	25.9248944957046	1	1	1	1	44.0340756769329	1	1	1	1	1	80.2686487026326	1	1	132.656122849968	1	1	128.266932557228	1	24.2264392142497	1	1	1	1	1	1
RIT1	1	1	1	1	1	33.1877913977786	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	62.635338107029	1	1	1	1	1
RITA1	1	1	26.5305371284255	1	1	1	1	1	1	1	1	1	1	1	30.4179270248389	1	1	1	1	1	1	1	1	1	1	1	1	1
RLF	1	45.2905299438316	1	1	1	55.6604390505623	104.505835964992	34.0406458626491	1	1	1	1	1	1	1	1	41.1973057703307	1	1	1	32.3412886264095	1	1	97.1918817900881	1	35.5879350152459	1	95.1613861709421
RLIM	1	1	1	1	1	47.1149354568278	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.853941828998	1	1	1	1	1	1	1
RMDN1	1	1	34.8919658416763	1	1	1	1	1	1	1	1	1	1	48.7342345345542	33.1719192170721	1	1	46.2274411101177	1	1	1	21.522814482579	1	1	1	1	1	1
RMI2	1	1	30.1835106471103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RMND1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.0079901764774	1	1	116.548654712207	1	1	1	1	1	1	1	1	1	1
RMND5B	1	1	57.107231444229	1	1	1	1	1	1	1	1	1	1	1	48.8536448294239	50.4936899855336	1	44.431014550236	1	1	42.3744088994821	29.9684397905152	1	1	1	1	1	1
